auc,ap,brier,accuracy,precision,recall,f1,auc_lo,auc_hi,analysis,classifier,n,events,bootstrap_valid
0.8466474594028287,0.34998341801404015,0.09116775060513957,0.8677248677248677,0.3333333333333333,0.08695652173913043,0.13793103448275862,0.7920701920381272,0.8937057347442552,Full,LR,378,46,1000
0.8249083289680461,0.32604570576661923,0.09195366463416964,0.8783068783068783,0.0,0.0,0.0,0.7673026077265311,0.8763789500711093,Full,RF,378,46,1000
0.8192771084337349,0.3280406079313956,0.10332969920717766,0.8624338624338624,0.36363636363636365,0.17391304347826086,0.23529411764705882,0.7600557314650217,0.8669021824870949,Full,GB,378,46,1000
0.6090230487166055,0.18045997767387334,0.10699272640827928,0.8783068783068783,0.0,0.0,0.0,0.526592164050049,0.6977465080755691,Question/evidence,LR,378,46,1000
0.6015584075432163,0.16528298190540439,0.10634366054366724,0.8783068783068783,0.0,0.0,0.0,0.5199800891352415,0.6846211030424438,Question/evidence,RF,378,46,1000
0.5292692509167103,0.14390983825300258,0.1165979478708267,0.8677248677248677,0.16666666666666666,0.021739130434782608,0.038461538461538464,0.438633749490231,0.6098808996272778,Question/evidence,GB,378,46,1000
0.7943622315348351,0.27735129089631877,0.09012166030218374,0.8783068783068783,0.0,0.0,0.0,0.7345066338005367,0.847991694318225,Identity only,LR,378,46,1000
0.5646920129678751,0.3412517099052804,0.24189816849558926,0.6349206349206349,0.3157894736842105,0.15384615384615385,0.20689655172413793,0.4546636669980175,0.6665959689063063,Within Llama-3.1-8B,LR,126,39,1000
0.5850279988211023,0.3747457733158744,0.2970752526336917,0.6904761904761905,0.0,0.0,0.0,0.47870692192444725,0.6879378904067849,Leave out llama-3.1-8b-instant,LR,126,39,1000
0.992,0.5,0.040869198888469176,0.9841269841269841,0.3333333333333333,1.0,0.5,0.9758064516129031,1.0,Leave out llama-3.3-70b-versatile,LR,126,1,651
0.7,0.21310855683269478,0.05936255115790431,0.9365079365079365,0.0,0.0,0.0,0.33062330623306235,0.9655874544939926,Leave out gpt-oss-20b,LR,126,6,994
